TP,POP,HS,CW
77956,73038,16357,2099
48870,70843,14234,2176
128486,138390,30788,2519
115389,45288,10607,3104
88813,81875,19921,3643
110450,142540,32480,40494
57611,36774,8567,626
66901,38238,8273,484
33863,43728,9525,1272
68986,51701,11578,11121
14454,58247,13337,8418
45695,94017,18939,15852
75329,97743,20420,22001
38247,90864,17113,1092
25584,24400,4178,550
50295,100414,21831,1857
71393,82019,18648,1504
89230,97673,21867,3700
73766,73280,16886,3504
108595,77654,17669,2828
115061,81659,19005,1521
59728,68581,16033,4645
55081,60163,14169,10934
207546,51987,13576,3381
79867,77877,20280,4722
53268,63658,15365,5774
69593,50769,12146,4630
73012,78561,17394,1748
33420,58703,13966,4367
33019,49233,11442,5118
55860,95371,22418,6985
22961,33677,7354,2225
60560,94088,20069,10100
24326,52402,10975,6159
39254,76042,17263,7753
75058,90723,19325,10722
11903,17469,3967,668
30467,33359,7367,740
36377,66941,15376,674
55142,51185,12101,821
49477,62053,12525,2309
81260,63169,13222,1262
75581,50213,10387,2955
28501,58878,12131,2573
142874,56256,12689,395
53634,78347,18528,1551
63303,96910,21018,973
22600,41747,9147,3158
96896,83046,20985,5618
64868,80232,17071,204
22329,23466,4972,852
37108,59907,13646,566
28005,39906,8228,1362
34844,22752,5509,123
42898,54206,12946,755
35726,43106,10540,1310
53061,56666,12856,1628
15884,5172,1203,485
24419,47354,9456,949
9536,1747,373,64
34038,43308,9825,865
54136,43360,9202,633
60258,67567,19997,1646
28851,29813,6481,1896
31106,37164,8583,1485
53668,81568,19005,1533
17727,31133,5707,1077
37214,77250,19746,1305
55588,1901,487,97
7406,12864,3311,529
36578,34615,11033,1075
59790,26424,6606,1096
29312,40795,9271,2045
64194,89417,21257,6304
39478,82406,19555,3961
25780,27680,6471,461
24256,35426,8156,2234
3483,4904,1135,77
33288,53600,10740,2310
20688,39628,8839,1181
111994,43245,9635,1049
21711,26458,6139,981
179867,49245,11916,4901
24598,36569,8489,826
29208,30230,6473,1406
8966,11346,2012,488
39817,32076,5687,713
2221,1864,466,169
11661,18401,4299,918
39527,43110,9737,1483
19340,32660,6071,1263
