3413,126,231,384,91,231,301,0,0,45,114,45,174,23,57,92,0,0,22,0,69,10,10,11,0,79
151,564,729,507,188,586,1293,71,258,71,620,565,1263,118,163,188,0,23,47,0,318,22,224,0,0,143
435,289,1806,1207,579,3639,2733,342,532,377,1168,1142,3200,297,1115,480,81,114,204,102,986,0,204,0,266,528
29,105,507,1030,188,1063,922,58,69,70,402,726,1886,324,437,176,0,23,284,131,527,23,139,94,23,103
106,170,370,984,2001,1784,1737,251,196,173,237,565,1561,303,374,210,15,86,51,89,513,2,203,0,112,60
50,0,48,257,48,1940,454,144,118,25,319,998,3683,290,702,187,0,48,370,150,1594,267,194,25,25,250
147,46,420,237,302,1727,969,242,121,364,1182,1294,1903,750,889,185,0,83,369,193,1499,135,282,24,49,229
102,136,715,341,204,2577,1795,774,331,340,680,895,2334,272,1013,613,0,34,238,238,1232,136,191,102,170,340
0,142,574,234,116,2001,2037,189,382,1073,1558,899,2396,678,997,835,68,400,427,173,1194,159,213,71,213,607
121,0,333,89,162,1311,1624,116,293,1034,926,928,2741,498,1244,1377,58,118,84,325,939,89,118,63,294,469
64,161,472,115,107,1676,787,248,151,160,2521,1091,4171,788,774,868,25,96,403,302,870,66,352,143,288,531
0,54,9,0,0,833,314,19,10,25,191,612,1725,439,200,71,0,15,173,184,623,25,55,9,62,181
0,73,35,49,0,784,215,107,78,185,111,856,1224,284,281,108,15,0,47,101,482,33,89,0,68,134
16,0,52,36,88,638,264,77,23,100,374,408,1538,593,385,90,44,0,360,146,471,59,151,37,81,190
49,0,120,24,24,813,458,142,86,58,802,656,2228,1041,1144,344,0,206,328,262,436,55,175,72,174,285
50,50,173,176,50,815,596,93,76,499,980,714,1206,236,690,964,77,114,159,164,603,110,50,151,91,255
61,15,677,86,46,207,208,50,77,180,344,93,239,86,177,438,80,30,24,0,303,9,78,18,0,43
0,19,25,15,45,186,224,0,58,135,196,323,845,432,646,562,38,330,213,97,351,19,106,38,71,219
49,33,101,16,17,437,296,17,81,108,201,350,1300,498,792,227,34,183,521,283,177,34,135,62,124,98
0,0,93,67,57,1494,523,0,0,247,531,980,2327,854,596,395,0,64,391,400,550,67,194,44,0,531
121,0,25,48,23,1304,514,117,47,121,377,1421,4354,424,365,221,9,60,113,104,1228,611,220,16,108,258
107,0,24,21,0,886,158,133,24,21,491,425,1653,346,273,173,46,23,159,140,1256,896,225,0,117,479
134,18,111,120,26,479,202,18,61,37,358,673,1744,335,226,80,0,0,155,166,640,105,259,31,192,354
0,0,0,0,0,161,186,67,22,78,344,49,258,285,229,168,0,97,359,81,238,118,31,681,351,254
345,65,131,107,98,389,1869,32,65,368,986,772,1754,921,866,516,0,417,976,378,1000,468,639,616,2242,1245
32,0,0,10,32,144,159,19,19,54,113,126,702,243,52,54,0,17,95,152,187,184,234,78,222,650
