TA,SE,EMP
78846,7108,18555
46958,8694,719
127807,13576,32160
116327,12795,71750
88644,9834,8311
110706,12856,12216
59560,6356,19380
67893,5953,45376
33863,10650,8171
68145,9665,45412
14454,4855,91
47031,9842,11316
76661,5401,30277
38248,21034,799
25775,6325,2262
51047,16900,5876
71315,11682,14089
87730,14472,23089
75004,12754,22147
108517,5393,61978
115538,10244,32087
59815,17959,4095
57271,13585,8217
203959,14032,103632
81144,4740,17673
53268,6836,10543
69103,7481,15868
73012,17207,6634
33420,30588,2305
32002,13684,2386
55860,31112,2682
23674,9556,23493
61081,20159,78123
24465,9938,33539
39474,5995,22412
76102,11074,6210
11497,13734,1750
30254,13425,6713
36457,16601,3305
55148,14020,22962
49477,17172,7505
80542,7177,17768
75145,7287,62885
28501,1052,1765
142722,12649,123567
52247,31897,7068
64085,16066,44289
22824,9845,3698
96895,49777,26575
64868,45123,10133
22329,3880,8745
36552,10218,9390
28088,6672,1045
35120,1205,21548
42268,2954,6669
35726,9543,12973
53063,5265,15155
16490,1461,19726
23764,4445,2213
9536,2081,4309
33810,11877,7983
54466,11069,20785
60533,5454,2213
29419,2190,6552
31106,12930,9690
51666,9851,16457
17727,5972,1036
37692,14694,1959
54945,1099,25468
7406,2418,833
36578,8728,7119
57756,7577,11351
29588,9350,2583
64194,6735,3226
38581,13980,476
25504,4132,9893
24256,4561,11653
3483,915,177
32672,16841,12124
20584,7728,8629
113832,8579,69735
21335,2559,5929
179360,8900,95905
24765,3442,1403
29104,5216,9792
8966,3144,831
40572,4612,51951
2221,6249,705
11661,6035,0
39527,7043,3464
19340,2722,0
